i275439379,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008937,the independent film & video monthly,
i275440412,c21349447,0731-5198,PB1013650,the independent,"Independent (New York, N.Y. : 1978)"
i275471160,c24498361,0743-4545 0743-4545 1,PB1012621,film and video makers travel sheet,
i275426944,c21926451,0300-7472,PB1009227,afterimage,
i275475864,c24500422,0896-6389 0896-6389 1,PB1012855,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275432865,c1740910x,0199-7300 1,PB1008467,the film journal,
i275451781,c24357571,0019-3712 0019-3712 1,PB1014184,the independent film journal,
i275459202,c24373667,0048-4911 0048-4911 z,PB1010732,positif,
i275452785,c24357613,0027-0407,PB1010152,monthly film bulletin,
i275452074,c24357571,0019-3712 0019-3712 1,PB1014213,the independent film journal,
i275469888,c24498294,1049-0434 1049-0434 1,PB1012431,entertainment weekly,
i275457552,c2436535x,0361-4751,PB1010281,american film,
i275459068,c24373667,0048-4911 0048-4911 z,PB1010718,positif,
i275458751,c24373667,0048-4911 0048-4911 z,PB1010686,positif,
i275450788,c24357571,0019-3712 0019-3712 1,PB1014084,the independent film journal,
i275477642,c2450144x,0015-1610 0015-1610 1,PB1013204,filmmakers newsletter,
i275473089,c24500331,0311-3639 0311-3639,PB1012752,cinema papers,
i275433444,c1740910x,0199-7300 1,PB1008525,the film journal,
i275425496,c21926451,0300-7472,PB1011364,afterimage,
i275469086,c24497460,0009-7071 0009-7071 4,PB1012294,cinema canada,
i275478373,c24501487,1063-8954 1063-8954 1,PB1013138,filmmaker,
i275426610,c21926451,0300-7472,PB1011456,afterimage,
i275474732,c24500380,0015-1025 0015-1025 z,PB1013057,film,"Film (London, England : 1954)"
i275473338,c24500331,0311-3639 0311-3639,PB1012777,cinema papers,
i275460824,c24373679,0045-1150,PB1011661,l'avant-scène cinéma,
i275477423,c2450144x,0015-1610 0015-1610 1,PB1013182,filmmakers newsletter,
i275450909,c24357571,0019-3712 0019-3712 1,PB1014096,the independent film journal,
i275455415,c24358563,0037-4830,PB1011322,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275478191,c2450144x,0015-1610 0015-1610 1,PB1013298,filmmakers newsletter,
i275451252,c24357571,0019-3712 0019-3712 1,PB1014131,the independent film journal,
i275456201,c24364617,0008-011X 0757-8075,PB1010434,cahiers du cinéma,
i275451525,c24357571,0019-3712 0019-3712 1,PB1014158,the independent film journal,
i275456808,c24364617,0008-011X 0757-8075,PB1010551,cahiers du cinéma,
i275438934,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009312,the independent film & video monthly,
i275438247,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012030,the independent film & video monthly,
i275458337,c24373667,0048-4911 0048-4911 z,PB1010644,positif,
i275476595,c24501360,0015-5128,PB1013392,focus on film,
i275423645,c22834175,0738-7563,PB1014564,video networks,
i275451185,c24357571,0019-3712 0019-3712 1,PB1014124,the independent film journal,
i275468847,c24497447,1027-5991 1027-5991,PB1012109,blimp,"Blimp (Graz, Austria)"
i275472061,c24499390,0360-3695 0885-1107,PB1012552,film & history,
i275483459,c24501839,0164-9655 0164-9655 1,PB1014012,millimeter,
i275476777,c24501402,0306-7661 0306-7661,PB1013410,framework,
i275483101,c24501839,0164-9655 0164-9655 1,PB1013977,millimeter,
i275466504,c24497307,0158-4154 0158-4154,PB1012145,cantrill's filmnotes,
i275484105,c24501840,0885-5021 0885-5021 1,PB1014258,movietone news,
i275463758,c24373643,0894-9263 0894-9263 1,PB1011029,premiere,"Premiere (New York, N.Y. : 1987)"
i275441593,c17414477,1077-9361 0742-533 0742-5333 1,PB1008958,international documentary,
i27544062x,c21349447,0731-5198,PB1013671,the independent,"Independent (New York, N.Y. : 1978)"
i275468902,c24497460,0009-7071 0009-7071 4,PB1012276,cinema canada,
i275423463,c22834175,0738-7563,PB1014546,video networks,
i275471901,c24499390,0360-3695 0885-1107,PB1012536,film & history,
i275467454,c24497320,0006-8527 0006-8527 1,PB1012082,box office,
i275442718,c17212534,0277-9897,PB1009172,post script,"Post script (Jacksonville, Fla.)"
i275461889,c24373679,0045-1150,PB1010935,l'avant-scène cinéma,
i275454952,c24358563,0037-4830,PB1011276,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275440977,c17414477,1077-9361 0742-533 0742-5333 1,PB1008111,international documentary,
i275439562,c21349447,0731-5198,PB1013565,the independent,"Independent (New York, N.Y. : 1978)"
i275441623,c17414477,1077-9361 0742-533 0742-5333 1,PB1008960,international documentary,
i275446487,c16330274,0036-9543 0036-9546 z,PB1007254,screen,"Screen (London, England)"
i275457035,c24364617,0008-011X 0757-8075,PB1011737,cahiers du cinéma,
i275442202,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009115,the journal of popular film and television,
i275432099,c1740910x,0199-7300 1,PB1008389,the film journal,
i27545731x,c24364617,0008-011X 0757-8075,PB1010487,cahiers du cinéma,
i275457783,c24370526,0015-1270 0015-1270 1,PB1010196,film heritage,
i275467909,c2449737x,0826-9866,PB1012207,cineaction!,
i275460228,c24373679,0045-1150,PB1010844,l'avant-scène cinéma,
i275460599,c24373679,0045-1150,PB1011638,l'avant-scène cinéma,
i27545678x,c24364617,0008-011X 0757-8075,PB1010549,cahiers du cinéma,
i275447285,c14756985,0160-6840,PB1007479,wide angle,
i275425708,c21926451,0300-7472,PB1011386,afterimage,
i275481359,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013848,main,"MAIN (Oakland, Calif.)"
i275481426,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013960,main,"MAIN (Oakland, Calif.)"
i275460046,c24373679,0045-1150,PB1010827,l'avant-scène cinéma,
i275441970,c24884753,0195-6051 0195-6051 0047-2719 1,PB1007498,the journal of popular film and television,
i275479985,c24501621,0143-9685 z,PB1013449,"historical journal of film, radio, and television",
i275475104,c24500380,0015-1025 0015-1025 z,PB1013094,film,"Film (London, England : 1954)"
i275458921,c24373667,0048-4911 0048-4911 z,PB1010704,positif,
i275439744,c21349447,0731-5198,PB1013583,the independent,"Independent (New York, N.Y. : 1978)"
i275451069,c24357571,0019-3712 0019-3712 1,PB1014112,the independent film journal,
i275461312,c24373679,0045-1150,PB1011696,l'avant-scène cinéma,
i275474501,c24500380,0015-1025 0015-1025 z,PB1013034,film,"Film (London, England : 1954)"
i275460770,c24373679,0045-1150,PB1011656,l'avant-scène cinéma,
i275471755,c24499390,0360-3695 0885-1107,PB1012521,film & history,
i275472218,c24499419,0163-5069 0163-5069 1,PB1012488,film criticism,
i275426130,c21926451,0300-7472,PB1011430,afterimage,
i275426427,c21926451,0300-7472,PB1011337,afterimage,
i275440369,c21349447,0731-5198,PB1013645,the independent,"Independent (New York, N.Y. : 1978)"
i275438740,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013724,the independent film & video monthly,
i275446906,c16330274,0036-9543 0036-9546 z,PB1007282,screen,"Screen (London, England)"
i275452864,c24357613,0027-0407,PB1010216,monthly film bulletin,
i275457813,c24370526,0015-1270 0015-1270 1,PB1010199,film heritage,
i27547690x,c24501426,1083-5369 1083-5369 1,PB1013350,films of the golden age,
i275478245,c24501487,1063-8954 1063-8954 1,PB1013125,filmmaker,
i275425435,c21926451,0300-7472,PB1011359,afterimage,
i275426762,c21926451,0300-7472,PB1009209,afterimage,
i275487015,c24502571,0306-0691,PB1014466,screen education,Screen education (1974)
i27548371x,c24501839,0164-9655 0164-9655 1,PB1014038,millimeter,
i275423414,c22834175,0738-7563,PB1014541,video networks,
i275477150,c2450144x,0015-1610 0015-1610 1,PB1013302,filmmakers newsletter,
i275483861,c24501840,0885-5021 0885-5021 1,PB1014234,movietone news,
i275422707,c14643856,0015-1327 0160-7316,PB1012838,film library quarterly,
i275477368,c2450144x,0015-1610 0015-1610 1,PB1013323,filmmakers newsletter,
i275441362,c17414477,1077-9361 0742-533 0742-5333 1,PB1008150,international documentary,
i275425952,c21926451,0300-7472,PB1011411,afterimage,
i275481815,c24501785,0025-6897 0025-6897 1,PB1013879,media and methods,
i275475293,c24500380,0015-1025 0015-1025 z,PB1013113,film,"Film (London, England : 1954)"
i27545986x,c24373667,0048-4911 0048-4911 z,PB1010798,positif,
i275426506,c21926451,0300-7472,PB1011345,afterimage,
i275473624,c24500331,0311-3639 0311-3639,PB1012957,cinema papers,
i275442706,c17212534,0277-9897,PB1008181,post script,"Post script (Jacksonville, Fla.)"
i275433262,c1740910x,0199-7300 1,PB1008507,the film journal,
i275451884,c24357571,0019-3712 0019-3712 1,PB1014194,the independent film journal,
i275478580,c24501499,0194-4339 0194-4339 1,PB1013160,filmmakers,
i275439975,c21349447,0731-5198,PB1013606,the independent,"Independent (New York, N.Y. : 1978)"
i275453017,c24357613,0027-0407,PB1010231,monthly film bulletin,
i275466991,c24497319,0147-4049 0147-4049 1,PB1012131,bright lights,
i275423074,c22834175,0738-7563,PB1011092,video networks,
i27544210x,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009105,the journal of popular film and television,
i275467028,c24497319,0147-4049 0147-4049 1,PB1012134,bright lights,
i275463928,c24369780,0015-153X,PB1010191,filmfacts,
i275480744,c24501736,0191-541X,PB1013785,lighting dimensions,
i275483253,c24501839,0164-9655 0164-9655 1,PB1013992,millimeter,
i275463254,c24373643,0894-9263 0894-9263 1,PB1010979,premiere,"Premiere (New York, N.Y. : 1987)"
i275484841,c24501906,0146-0013,PB1014636,quarterly review of film studies,
i275468045,c2449737x,0826-9866,PB1012221,cineaction!,
i275440965,c17414477,1077-9361 0742-533 0742-5333 1,PB1008110,international documentary,
i275460691,c24373679,0045-1150,PB1011648,l'avant-scène cinéma,
i275481165,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013828,main,"MAIN (Oakland, Calif.)"
i275470623,c24498361,0743-4545 0743-4545 1,PB1012566,film and video makers travel sheet,
i275432130,c1740910x,0199-7300 1,PB1008393,the film journal,
i275461075,c24373679,0045-1150,PB1011688,l'avant-scène cinéma,
i275439355,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009795,the independent film & video monthly,
i275426968,c21926451,0300-7472,PB1009229,afterimage,
i275459263,c24373667,0048-4911 0048-4911 z,PB1010738,positif,
i27547110x,c24498361,0743-4545 0743-4545 1,PB1012615,film and video makers travel sheet,
i275446736,c16330274,0036-9543 0036-9546 z,PB1007267,screen,"Screen (London, England)"
i275457576,c2436535x,0361-4751,PB1010283,american film,
i275452050,c24357571,0019-3712 0019-3712 1,PB1014211,the independent film journal,
i275469311,c24497460,0009-7071 0009-7071 4,PB1012317,cinema canada,
i275459081,c24373667,0048-4911 0048-4911 z,PB1010720,positif,
i275423578,c22834175,0738-7563,PB1014557,video networks,
i275477629,c2450144x,0015-1610 0015-1610 1,PB1013202,filmmakers newsletter,
i275433468,c1740910x,0199-7300 1,PB1008527,the film journal,
i275426634,c21926451,0300-7472,PB1008804,afterimage,
i275478427,c24501499,0194-4339 0194-4339 1,PB1013145,filmmakers,
i275456195,c24364617,0008-011X 0757-8075,PB1010433,cahiers du cinéma,
i275474719,c24500380,0015-1025 0015-1025 z,PB1013055,film,"Film (London, England : 1954)"
i275453650,c24358617,0090-4260,PB1010123,literature film quarterly,
i275458131,c24373667,0048-4911 0048-4911 z,PB1010624,positif,
i275460848,c24373679,0045-1150,PB1011665,l'avant-scène cinéma,
i275458684,c24373667,0048-4911 0048-4911 z,PB1010679,positif,
i275455439,c24358563,0037-4830,PB1011324,sightlines,"Sightlines (New York, N.Y. : 1967)"
i27547799x,c2450144x,0015-1610 0015-1610 1,PB1013277,filmmakers newsletter,
i275477198,c2450144x,0015-1610 0015-1610 1,PB1013305,filmmakers newsletter,
i27547835x,c24501487,1063-8954 1063-8954 1,PB1013136,filmmaker,
i275456225,c24364617,0008-011X 0757-8075,PB1010436,cahiers du cinéma,
i275451501,c24357571,0019-3712 0019-3712 1,PB1014156,the independent film journal,
i275450107,c24356153,0361-722X,PB1012877,film reader,
i275438260,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012032,the independent film & video monthly,
i275458350,c24373667,0048-4911 0048-4911 z,PB1010646,positif,
i275458143,c24373667,0048-4911 0048-4911 z,PB1010625,positif,
i275426099,c21926451,0300-7472,PB1011425,afterimage,
i275476571,c24501360,0015-5128,PB1013390,focus on film,
i275455889,c24364617,0008-011X 0757-8075,PB1010498,cahiers du cinéma,
i275423669,c22834175,0738-7563,PB1014566,video networks,
i275468860,c24497459,1241-8153,PB1012264,cinémathèque,"Cinémathèque (Paris, France)"
i275472000,c24499390,0360-3695 0885-1107,PB1012546,film & history,
i27546233x,c24373679,0045-1150,PB1010810,l'avant-scène cinéma,
i275483472,c24501839,0164-9655 0164-9655 1,PB1014014,millimeter,
i275422392,c14643856,0015-1327 0160-7316,PB1012808,film library quarterly,
i275423918,c22834175,0738-7563,PB1014591,video networks,
i275471299,c24498361,0743-4545 0743-4545 1,PB1012634,film and video makers travel sheet,
i275466528,c24497307,0158-4154 0158-4154,PB1012147,cantrill's filmnotes,
i275484129,c24501840,0885-5021 0885-5021 1,PB1014260,movietone news,
i275432300,c1740910x,0199-7300 1,PB1008411,the film journal,
i275457370,c24364617,0008-011X 0757-8075,PB1010553,cahiers du cinéma,
i275442731,c17212534,0277-9897,PB1008171,post script,"Post script (Jacksonville, Fla.)"
i275454939,c24358563,0037-4830,PB1011274,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275440990,c17414477,1077-9361 0742-533 0742-5333 1,PB1008113,international documentary,
i27542344x,c22834175,0738-7563,PB1014544,video networks,
i275441647,c17414477,1077-9361 0742-533 0742-5333 1,PB1008962,international documentary,
i275457011,c24364617,0008-011X 0757-8075,PB1011735,cahiers du cinéma,
i275442597,c17212534,0277-9897,PB1008177,post script,"Post script (Jacksonville, Fla.)"
i27544191x,c17414477,1077-9361 0742-533 0742-5333 1,PB1008975,international documentary,
i275468781,c24497447,1027-5991 1027-5991,PB1012103,blimp,"Blimp (Graz, Austria)"
i275485523,c24501955,1079-6851 1079-6851 1,PB1014402,scenario,"Scenario (New York, N.Y.)"
i275467922,c2449737x,0826-9866,PB1012209,cineaction!,
i275460204,c24373679,0045-1150,PB1011170,l'avant-scène cinéma,
i275425721,c21926451,0300-7472,PB1011388,afterimage,
i275470520,c24498361,0743-4545 0743-4545 1,PB1012556,film and video makers travel sheet,
i275456420,c24364617,0008-011X 0757-8075,PB1010456,cahiers du cinéma,
i275439501,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009800,the independent film & video monthly,
i275469785,c24498282,0145-6032 1,PB1012413,cinefantastique,
i275469633,c24497484,0886-6570 0886-6570 1,PB1012418,cinematograph,
i275456766,c24364617,0008-011X 0757-8075,PB1010547,cahiers du cinéma,
i275475128,c24500380,0015-1025 0015-1025 z,PB1013096,film,"Film (London, England : 1954)"
i275477769,c2450144x,0015-1610 0015-1610 1,PB1013254,filmmakers newsletter,
i275458908,c24373667,0048-4911 0048-4911 z,PB1010702,positif,
i275461725,c24373679,0045-1150,PB1010919,l'avant-scène cinéma,
i275433602,c1740910x,0199-7300 1,PB1008541,the film journal,
i275469128,c24497460,0009-7071 0009-7071 4,PB1012298,cinema canada,
i278709102,c24364617,0008-011X 0757-8075,PB1015876,cahiers du cinéma,
i275461336,c24373679,0045-1150,PB1011698,l'avant-scène cinéma,
i275481141,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013826,main,"MAIN (Oakland, Calif.)"
i275440205,c21349447,0731-5198,PB1013629,the independent,"Independent (New York, N.Y. : 1978)"
i275474525,c24500380,0015-1025 0015-1025 z,PB1013036,film,"Film (London, England : 1954)"
i275471731,c24499390,0360-3695 0885-1107,PB1012519,film & history,
i275478658,c24501499,0194-4339 0194-4339 1,PB1013167,filmmakers,
i275472279,c24499419,0163-5069 0163-5069 1,PB1012495,film criticism,
i275426154,c21926451,0300-7472,PB1011426,afterimage,
i275426026,c21926451,0300-7472,PB1011418,afterimage,
i275426403,c21926451,0300-7472,PB1011336,afterimage,
i275459743,c24373667,0048-4911 0048-4911 z,PB1010788,positif,
i275476960,c24501426,1083-5369 1083-5369 1,PB1013356,films of the golden age,
i275440345,c21349447,0731-5198,PB1013643,the independent,"Independent (New York, N.Y. : 1978)"
i275465780,c24495724,1041-617X 1,PB1011911,animation magazine,
i275450351,c24357571,0019-3712 0019-3712 1,PB1009404,the independent film journal,
i275446967,c16330274,0036-9543 0036-9546 z,PB1009359,screen,"Screen (London, England)"
i275452840,c24357613,0027-0407,PB1010214,monthly film bulletin,
i275432701,c1740910x,0199-7300 1,PB1008451,the film journal,
i275473272,c24500331,0311-3639 0311-3639,PB1012771,cinema papers,
i275487039,c24502571,0306-0691,PB1014468,screen education,Screen education (1974)
i275470064,c24498294,1049-0434 1049-0434 1,PB1012449,entertainment weekly,
i275476388,c24501360,0015-5128,PB1013371,focus on film,
i275483800,c24501840,0885-5021 0885-5021 1,PB1014228,movietone news,
i275422276,c14643856,0015-1327 0160-7316,PB1008675,film library quarterly,
i275441349,c17414477,1077-9361 0742-533 0742-5333 1,PB1008148,international documentary,
i27544112x,c17414477,1077-9361 0742-533 0742-5333 1,PB1008126,international documentary,
i275477381,c2450144x,0015-1610 0015-1610 1,PB1013178,filmmakers newsletter,
i275440837,c17414477,1077-9361 0742-533 0742-5333 1,PB1008096,international documentary,
i275450995,c24357571,0019-3712 0019-3712 1,PB1014108,the independent film journal,
i275478634,c24501499,0194-4339 0194-4339 1,PB1013165,filmmakers,
i275433249,c1740910x,0199-7300 1,PB1008505,the film journal,
i27546118x,c24373679,0045-1150,PB1010881,l'avant-scène cinéma,
i275453078,c24357613,0027-0407,PB1010237,monthly film bulletin,
i275463497,c24373643,0894-9263 0894-9263 1,PB1011003,premiere,"Premiere (New York, N.Y. : 1987)"
i275423050,c22834175,0738-7563,PB1011095,video networks,
i275474896,c24500380,0015-1025 0015-1025 z,PB1013073,film,"Film (London, England : 1954)"
i275467004,c24497319,0147-4049 0147-4049 1,PB1012132,bright lights,
i275461920,c24373679,0045-1150,PB1010939,l'avant-scène cinéma,
i27609427x,c24884753,0195-6051 0195-6051 0047-2719 1,PB1015843,the journal of popular film and television,
i275486977,c24502571,0306-0691,PB1014462,screen education,Screen education (1974)
i275439082,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008933,the independent film & video monthly,
i275463278,c24373643,0894-9263 0894-9263 1,PB1010981,premiere,"Premiere (New York, N.Y. : 1987)"
i275468069,c2449737x,0826-9866,PB1012223,cineaction!,
i27544269x,c17212534,0277-9897,PB1008180,post script,"Post script (Jacksonville, Fla.)"
i275432117,c1740910x,0199-7300 1,PB1008391,the film journal,
i27545924x,c24373667,0048-4911 0048-4911 z,PB1010736,positif,
i275471123,c24498361,0743-4545 0743-4545 1,PB1012617,film and video makers travel sheet,
i27544675x,c16330274,0036-9543 0036-9546 z,PB1007268,screen,"Screen (London, England)"
i275426981,c21926451,0300-7472,PB1009231,afterimage,
i278712307,c24901581,0588-8018,PB1015879,communications,"Communications (Paris, France)"
i27545759x,c2436535x,0361-4751,PB1010285,american film,
i275477812,c2450144x,0015-1610 0015-1610 1,PB1013259,filmmakers newsletter,
i275469335,c24497460,0009-7071 0009-7071 4,PB1012384,cinema canada,
i275465846,c24495724,1041-617X 1,PB1011917,animation magazine,
i27547477x,c24500380,0015-1025 0015-1025 z,PB1013061,film,"Film (London, England : 1954)"
i275477605,c2450144x,0015-1610 0015-1610 1,PB1013200,filmmakers newsletter,
i275477976,c2450144x,0015-1610 0015-1610 1,PB1013275,filmmakers newsletter,
i275470659,c24498361,0743-4545 0743-4545 1,PB1012570,film and video makers travel sheet,
i275451744,c24357571,0019-3712 0019-3712 1,PB1014180,the independent film journal,
i275478403,c24501499,0194-4339 0194-4339 1,PB1013143,filmmakers,
i27545129x,c24357571,0019-3712 0019-3712 1,PB1014135,the independent film journal,
i275438466,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013697,the independent film & video monthly,
i275453674,c24358617,0090-4260,PB1010125,literature film quarterly,
i275460861,c24373679,0045-1150,PB1011667,l'avant-scène cinéma,
i275458118,c24373667,0048-4911 0048-4911 z,PB1010622,positif,
i27545518x,c24358563,0037-4830,PB1011299,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275451562,c24357571,0019-3712 0019-3712 1,PB1014162,the independent film journal,
i275456249,c24364617,0008-011X 0757-8075,PB1010438,cahiers du cinéma,
i275458374,c24373667,0048-4911 0048-4911 z,PB1010648,positif,
i27542621x,c21926451,0300-7472,PB1011437,afterimage,
i275462316,c24373679,0045-1150,PB1010808,l'avant-scène cinéma,
i27547673x,c24501402,0306-7661 0306-7661,PB1013406,framework,
i275472395,c24499419,0163-5069 0163-5069 1,PB1012507,film criticism,
i275432750,c1740910x,0199-7300 1,PB1008456,the film journal,
i275476558,c24501360,0015-5128,PB1013388,focus on film,
i275423608,c22834175,0738-7563,PB1014560,video networks,
i27543820x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012026,the independent film & video monthly,
i275468884,c24497460,0009-7071 0009-7071 4,PB1012274,cinema canada,
i275472024,c24499390,0360-3695 0885-1107,PB1012548,film & history,
i275452980,c24357613,0027-0407,PB1010228,monthly film bulletin,
i275457357,c24364617,0008-011X 0757-8075,PB1010491,cahiers du cinéma,
i275432324,c1740910x,0199-7300 1,PB1008414,the film journal,
i275454915,c24358563,0037-4830,PB1011272,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275461865,c24373679,0045-1150,PB1010933,l'avant-scène cinéma,
i283001094,c24364617,0008-011X 0757-8075,PB1016048,cahiers du cinéma,
i275470891,c24498361,0743-4545 0743-4545 1,PB1012594,film and video makers travel sheet,
i275427031,c21926451,0300-7472,PB1009236,afterimage,
i275422513,c14643856,0015-1327 0160-7316,PB1012819,film library quarterly,
i275484142,c24501840,0885-5021 0885-5021 1,PB1014262,movietone news,
i275466541,c24497307,0158-4154 0158-4154,PB1012149,cantrill's filmnotes,
i275460265,c24373679,0045-1150,PB1010848,l'avant-scène cinéma,
i275485547,c24501955,1079-6851 1079-6851 1,PB1014404,scenario,"Scenario (New York, N.Y.)"
i275467946,c2449737x,0826-9866,PB1012211,cineaction!,
i275467764,c2449737x,0826-9866,PB1012193,cineaction!,
i275456407,c24364617,0008-011X 0757-8075,PB1010454,cahiers du cinéma,
i275439525,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009802,the independent film & video monthly,
i275439835,c21349447,0731-5198,PB1013592,the independent,"Independent (New York, N.Y. : 1978)"
i275441660,c17414477,1077-9361 0742-533 0742-5333 1,PB1008964,international documentary,
i275460083,c24373679,0045-1150,PB1010831,l'avant-scène cinéma,
i275441933,c14687197,0047-2719 0047-2719 1,PB1007494,the journal of popular film,
i275481463,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013964,main,"MAIN (Oakland, Calif.)"
i275456742,c24364617,0008-011X 0757-8075,PB1010545,cahiers du cinéma,
i275461221,c24373679,0045-1150,PB1010885,l'avant-scène cinéma,
i275475141,c24500380,0015-1025 0015-1025 z,PB1013098,film,"Film (London, England : 1954)"
i275463680,c24373643,0894-9263 0894-9263 1,PB1011022,premiere,"Premiere (New York, N.Y. : 1987)"
i275458969,c24373667,0048-4911 0048-4911 z,PB1010708,positif,
i275461130,c24373679,0045-1150,PB1011694,l'avant-scène cinéma,
i27546135x,c24373679,0045-1150,PB1011700,l'avant-scène cinéma,
i275461683,c24373679,0045-1150,PB1010915,l'avant-scène cinéma,
i27542411x,c22834175,0738-7563,PB1014611,video networks,
i275470696,c24498361,0743-4545 0743-4545 1,PB1012574,film and video makers travel sheet,
i275462973,c24373618,1549-0068,PB1011047,"the quarterly of film, radio, and television",
i275478099,c2450144x,0015-1610 0015-1610 1,PB1013287,filmmakers newsletter,
i275469104,c24497460,0009-7071 0009-7071 4,PB1012296,cinema canada,
i275432920,c1740910x,0199-7300 1,PB1008473,the film journal,
i275459184,c24373667,0048-4911 0048-4911 z,PB1010730,positif,
i275474549,c24500380,0015-1025 0015-1025 z,PB1013038,film,"Film (London, England : 1954)"
i275471718,c24499390,0360-3695 0885-1107,PB1012517,film & history,
i275440229,c21349447,0731-5198,PB1013631,the independent,"Independent (New York, N.Y. : 1978)"
i275452153,c24357571,0019-3712 0019-3712 1,PB1014221,the independent film journal,
